"Index","year","month","qtr","days","totus_supt","totus_demt","totus_rmrevt","totus_demd","totus_supd","totus_occ","totus_adr","totus_revpar"
1987-01-01,1987,1,1,90,259.041901,152.941795,8105.505621,1.699353278,2.878243344,0.590413344,52.99732242,31.29032635
1987-04-01,1987,4,2,91,270.010752,178.76889,9327.541117,1.964493297,2.967151121,0.662080634,52.17653428,34.54507292
1987-07-01,1987,7,3,92,278.99048,196.85989,10282.819923,2.139781413,3.032505217,0.70561508,52.23420537,36.85724302
1987-10-01,1987,10,4,92,277.547753,159.487407,8290.358857,1.733558772,3.016823402,0.574630511,51.98127559,29.87002693
1988-01-01,1988,1,1,90,272.303719,158.53239,8701.697724,1.761471,3.025596878,0.582189588,54.88908433,31.9558534
1988-04-01,1988,4,2,91,282.770342,187.900473,10160.53442,2.064840363,3.107366396,0.664498517,54.07402258,35.93210783
1988-07-01,1988,7,3,92,291.404936,206.204771,11132.715848,2.241356207,3.167444957,0.70762278,53.9886434,38.20359394
1988-10-01,1988,10,4,92,289.641052,167.453403,9001.699379,1.820145685,3.148272304,0.578141123,53.75644339,31.07881054
1989-01-01,1989,1,1,90,283.59191,168.08363,9646.393929,1.867595889,3.151021222,0.592695433,57.39044266,34.01505328
1989-04-01,1989,4,2,91,293.793926,198.20611,11144.480284,2.178089121,3.228504681,0.674643321,56.22672421,37.93298397
1989-07-01,1989,7,3,92,301.404862,215.680634,12107.683273,2.344354717,3.276139804,0.715584455,56.13709051,40.17082934
1989-10-01,1989,10,4,92,299.739307,175.768168,9790.531305,1.910523565,3.258035946,0.586403464,55.70139017,32.66348816
1990-01-01,1990,1,1,90,293.797882,176.25984,10463.008152,1.958442667,3.264420911,0.599935707,59.36127113,35.61294615
1990-04-01,1990,4,2,91,304.39848,204.340545,11861.820698,2.245500495,3.345038242,0.671292922,58.04927602,38.9680681
1990-07-01,1990,7,3,92,312.520462,219.210012,12701.091992,2.382717522,3.396961543,0.70142611,57.94029149,40.64083328
1990-10-01,1990,10,4,92,309.469162,175.820322,10115.294775,1.911090457,3.363795239,0.568135193,57.53200006,32.68595394
1991-01-01,1991,1,1,90,301.456294,169.550294,10028.795502,1.883892156,3.349514378,0.562437399,59.14938432,33.26782589
1991-04-01,1991,4,2,91,310.377251,202.866392,11785.678163,2.229301011,3.410739022,0.65361231,58.09576464,37.97210693
1991-07-01,1991,7,3,92,316.777103,220.343587,12791.742246,2.395038989,3.44322938,0.695579273,58.05361717,40.38089283
1991-10-01,1991,10,4,92,313.136499,176.526119,10194.880405,1.918762163,3.403657598,0.563735366,57.75281563,32.55730468
1992-01-01,1992,1,1,90,305.109354,172.766048,10351.831578,1.919622756,3.390103933,0.56624304,59.91820556,33.92826684
1992-04-01,1992,4,2,91,313.943094,204.589038,12029.010532,2.248231187,3.44992411,0.651675549,58.795968,38.3158947
1992-07-01,1992,7,3,92,319.705149,226.600019,13415.676665,2.463043685,3.475055967,0.708778134,59.20421686,41.96265436
1992-10-01,1992,10,4,92,315.801711,180.016042,10573.000421,1.956696109,3.432627293,0.57002871,58.73365675,33.4798706
1993-01-01,1993,1,1,90,307.302057,178.269673,10934.81221,1.980774144,3.4144673,0.580112202,61.33860026,35.58327047
1993-04-01,1993,4,2,91,315.714624,208.352043,12515.004273,2.28958289,3.469391473,0.659937891,60.06662614,39.64024255
1993-07-01,1993,7,3,92,321.590608,229.133763,13882.446029,2.49058438,3.495550087,0.712501414,60.58664532,43.16807047
1993-10-01,1993,10,4,92,318.449486,183.615416,11051.312364,1.995819739,3.461407457,0.576591968,60.1872795,34.70350197
1994-01-01,1994,1,1,90,310.234151,183.894954,11577.135819,2.043277267,3.447046122,0.592761801,62.95515764,37.31741261
1994-04-01,1994,4,2,91,319.849586,214.498536,13394.073663,2.357126769,3.514830615,0.670623147,62.44366005,41.87616383
1994-07-01,1994,7,3,92,326.186242,235.692656,14885.428599,2.561876696,3.54550263,0.722570807,63.1560985,45.63475304
1994-10-01,1994,10,4,92,322.796555,191.15587,11963.890466,2.077781196,3.508658207,0.592186834,62.58709432,37.06325325
1995-01-01,1995,1,1,90,314.598654,188.332039,12403.443437,2.092578211,3.4955406,0.598642228,65.85944432,39.42624445
1995-04-01,1995,4,2,91,324.653189,220.233247,14339.431936,2.420145571,3.567617462,0.67836465,65.11020535,44.16846167
1995-07-01,1995,7,3,92,331.787938,239.621728,15865.898603,2.604584,3.60639063,0.7222135,66.21227021,47.81939542
1995-10-01,1995,10,4,92,328.592827,193.517084,12774.585971,2.103446565,3.571661163,0.588926684,66.01270393,38.87664283
1996-01-01,1996,1,1,90,320.879708,191.841652,13346.700931,2.131573911,3.565330089,0.597861589,69.57144495,41.5940946
1996-04-01,1996,4,2,91,331.959905,225.455532,15602.550599,2.477533319,3.647911044,0.679164949,69.2045587,47.00131059
1996-07-01,1996,7,3,92,340.186038,242.594329,17191.963566,2.63689488,3.697674326,0.713122533,70.86712883,50.53694639
1996-10-01,1996,10,4,92,338.060442,198.107472,13972.498507,2.153342087,3.674570022,0.586011989,70.52989151,41.331362
1997-01-01,1997,1,1,90,331.177245,197.008741,14645.546236,2.188986011,3.679747167,0.594874026,74.33957581,44.22268274
1997-04-01,1997,4,2,91,342.98223,230.48393,16979.253968,2.53279044,3.769035495,0.671999625,73.66784299,49.50476288
1997-07-01,1997,7,3,92,352.331738,248.935607,18521.407925,2.705821815,3.829692804,0.706537561,74.4024053,52.56809401
1997-10-01,1997,10,4,92,351.070555,204.310993,15164.241677,2.220771663,3.815984293,0.581965619,74.22136937,43.1942852
1998-01-01,1998,1,1,90,344.681049,202.814382,15883.594738,2.253493133,3.829789433,0.588411758,78.31591912,46.08200765
1998-04-01,1998,4,2,91,356.672628,237.821553,18367.382981,2.613423659,3.919479429,0.666778256,77.23178471,51.49647475
1998-07-01,1998,7,3,92,366.020325,254.041591,19615.393687,2.761321641,3.978481793,0.694064164,77.21331617,53.59099577
1998-10-01,1998,10,4,92,364.867962,210.827734,16298.619263,2.291605804,3.965956109,0.577819255,77.30775716,44.66991065
1999-01-01,1999,1,1,90,358.007354,210.054315,16952.743307,2.333936833,3.977859489,0.586731844,80.70647493,47.35305886
1999-04-01,1999,4,2,91,370.916511,244.035093,19387.809771,2.681704319,4.076005615,0.657924589,79.44681043,52.27001009
1999-07-01,1999,7,3,92,380.035794,262.859922,21085.260445,2.857173065,4.130823848,0.691671485,80.21481664,55.48230135
1999-10-01,1999,10,4,92,378.272475,216.337065,17496.947257,2.351489837,4.111657337,0.571908027,80.87817618,46.2548782
2000-01-01,2000,1,1,90,369.690933,216.920649,18255.109239,2.410229433,4.107677033,0.586762156,84.15570082,49.37938048
2000-04-01,2000,4,2,91,381.72239,256.493215,21601.262963,2.818606758,4.194751538,0.671936522,84.21767789,56.58893355
2000-07-01,2000,7,3,92,390.345253,270.440588,23019.302743,2.939571609,4.242883185,0.692824073,85.117781,58.9716477
2000-10-01,2000,10,4,92,388.239256,222.744979,18948.198224,2.421141076,4.219991913,0.573731212,85.06678045,48.80546707
2001-01-01,2001,1,1,90,379.897933,222.037137,19466.43828,2.4670793,4.221088144,0.584465241,87.67199282,51.24123242
2001-04-01,2001,4,2,91,391.653292,251.342986,21435.256174,2.762010835,4.30388233,0.641748687,85.28288979,54.73018257
2001-07-01,2001,7,3,92,399.207502,254.655407,21008.860199,2.767993554,4.339211978,0.637902358,82.49917191,52.62641632
2001-10-01,2001,10,4,92,395.989918,207.128625,16268.492394,2.251398098,4.304238239,0.5230654,78.54294593,41.08309746
2002-01-01,2002,1,1,90,386.683395,213.343844,17825.756712,2.370487156,4.296482167,0.551727451,83.55411798,46.09910056
2002-04-01,2002,4,2,91,397.908261,250.334417,20784.397062,2.750927659,4.372618253,0.629125961,83.02652632,52.23414314
2002-07-01,2002,7,3,92,405.286138,260.113199,21455.091645,2.82731738,4.405284109,0.641801371,82.48367145,52.93813342
2002-10-01,2002,10,4,92,401.928984,215.58685,17471.98359,2.343335326,4.368793304,0.536380452,81.043828,43.47032507
2003-01-01,2003,1,1,90,391.74908,213.06732,17805.383412,2.367414667,4.352767556,0.543887225,83.56693749,45.45098973
2003-04-01,2003,4,2,91,402.152097,247.742318,20379.506374,2.722443055,4.419253813,0.616041343,82.26090132,50.67611614
2003-07-01,2003,7,3,92,409.301216,267.858316,22211.74804,2.911503435,4.448926261,0.654428342,82.92349617,54.26748608
2003-10-01,2003,10,4,92,405.188212,223.019241,18291.48226,2.424122185,4.404219696,0.550409006,82.01750745,45.14317475
2004-01-01,2004,1,1,90,394.549475,223.701276,19313.50546,2.485569733,4.383883056,0.566979023,86.33614347,48.95078231
2004-04-01,2004,4,2,91,404.810496,259.485565,22315.247921,2.851489725,4.448466989,0.641005032,85.99803199,55.12517126
2004-07-01,2004,7,3,92,410.621556,275.742264,23795.20795,2.997198522,4.463277783,0.671524083,86.29510618,57.94924208
2004-10-01,2004,10,4,92,405.469269,230.778831,19889.164719,2.508465554,4.407274663,0.569164789,86.18279516,49.05221244
2005-01-01,2005,1,1,90,394.849131,230.155482,20752.408208,2.557283133,4.387212567,0.582894741,90.16690816,52.55781659
2005-04-01,2005,4,2,91,404.926988,266.764371,24232.616805,2.931476604,4.449747121,0.658796225,90.83903039,59.84441028
2005-07-01,2005,7,3,92,410.091317,282.367868,25808.336638,3.069215957,4.457514315,0.68854876,91.39969367,62.93314579
2005-10-01,2005,10,4,92,404.697259,238.190196,21829.780297,2.58902387,4.39888325,0.588563897,91.64852569,53.94101347
2006-01-01,2006,1,1,90,394.261153,236.335763,22853.674967,2.625952922,4.380679478,0.599439638,96.70002829,57.96582999
2006-04-01,2006,4,2,91,404.486762,268.764786,26275.281276,2.953459187,4.444909473,0.664458794,97.76310977,64.959558
2006-07-01,2006,7,3,92,411.404499,280.102058,27465.219503,3.044587587,4.471788033,0.680843449,98.05432955,66.75964791
2006-10-01,2006,10,4,92,407.981799,236.693975,23375.13722,2.572760598,4.434584772,0.580158173,98.75679015,57.29455892
2007-01-01,2007,1,1,90,397.811219,235.539935,24385.585276,2.617110389,4.420124656,0.592089724,103.5305766,61.29939054
2007-04-01,2007,4,2,91,409.081387,271.719677,28171.374597,2.985930516,4.495399857,0.664219115,103.6780807,68.86496304
2007-07-01,2007,7,3,92,416.611246,283.851992,29621.451778,3.085347739,4.528383109,0.681335405,104.3552718,71.10094137
2007-10-01,2007,10,4,92,414.270884,237.969462,25170.860121,2.586624587,4.502944391,0.574429609,105.7734884,60.75942359
2008-01-01,2008,1,1,90,405.480973,232.080162,25281.859492,2.578668467,4.505344144,0.572357712,108.9358921,62.35029798
2008-04-01,2008,4,2,91,418.010967,268.674587,29082.130413,2.952467989,4.59352711,0.642745306,108.242952,69.57264931
2008-07-01,2008,7,3,92,427.066321,278.580426,30046.175379,3.028048109,4.642025228,0.65231186,107.8545819,70.3548229
2008-10-01,2008,10,4,92,426.095659,223.631364,23296.466138,2.430775696,4.631474554,0.5248384,104.173519,54.67426303
2009-01-01,2009,1,1,90,417.617019,212.37372,21398.967639,2.359708,4.6401891,0.508537034,100.7609022,51.24065032
2009-04-01,2009,4,2,91,429.910639,245.985603,24117.299835,2.703138495,4.724292736,0.57217845,98.04354215,56.09840196
2009-07-01,2009,7,3,92,439.150719,263.456458,25713.615665,2.863657152,4.77337738,0.599922638,97.60100724,58.55305378
2009-10-01,2009,10,4,92,437.663982,218.895097,21107.027791,2.379294533,4.757217196,0.500144188,96.42531094,48.22655886
2010-01-01,2010,1,1,90,427.655317,221.899347,21417.414695,2.4655483,4.751725744,0.518874285,96.51860172,50.08102049
2010-04-01,2010,4,2,91,438.546828,265.86269,26089.007057,2.921568022,4.819195912,0.606235579,98.12962871,59.48967223
2010-07-01,2010,7,3,92,445.53631,284.489326,28280.461996,3.092275283,4.842785978,0.638532303,99.40781397,63.47510037
2010-10-01,2010,10,4,92,441.849753,235.841676,23214.818827,2.563496478,4.802714707,0.533759891,98.43391219,52.54007424
2011-01-01,2011,1,1,90,430.57549,235.156169,23441.576492,2.612846322,4.784172111,0.546143881,99.68514367,54.4424312
2011-04-01,2011,4,2,91,440.700446,278.306172,28338.740257,3.058309582,4.842862044,0.631508714,101.82577,64.30386108
2011-07-01,2011,7,3,92,447.162513,296.386061,30642.894108,3.22158762,4.860462098,0.662815089,103.3884455,68.52742173
2011-10-01,2011,10,4,92,443.260856,245.069225,25104.943436,2.663795924,4.818052783,0.552878112,102.4402123,56.63695112
2012-01-01,2012,1,1,90,431.523539,244.232385,25295.560906,2.713693167,4.794705989,0.56597697,103.5716902,58.61919135
2012-04-01,2012,4,2,91,442.202961,287.274448,30626.544912,3.156862066,4.859373198,0.649643882,106.6107519,69.2590227
2012-07-01,2012,7,3,92,449.538059,300.777598,32353.413111,3.269321717,4.88628325,0.669081498,107.5659003,71.97035371
2012-10-01,2012,10,4,92,445.963311,251.911373,26867.215643,2.738167098,4.847427293,0.564870174,106.6534445,60.24534974
2013-01-01,2013,1,1,90,434.44943,249.935415,27074.950305,2.777060167,4.827215889,0.575292307,108.3277866,62.32014231
2013-04-01,2013,4,2,91,445.298197,292.539339,32348.864695,3.214718011,4.89338678,0.656951546,110.5795371,72.64539788
2013-07-01,2013,7,3,92,452.442105,306.676281,34361.180977,3.333437837,4.917848967,0.677824362,112.0438166,75.94602845
2013-10-01,2013,10,4,92,449.03021,257.958259,28425.264714,2.80389412,4.880763152,0.574478628,110.1932724,63.30367998
2014-01-01,2014,1,1,90,437.923599,259.203761,29143.482379,2.880041789,4.865817767,0.591892653,112.4346432,66.54923929
2014-04-01,2014,4,2,91,448.864917,305.392753,35272.502861,3.355964319,4.932581505,0.680366724,115.4988208,78.58155433
2014-07-01,2014,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-01,2014,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01,2015,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-01,2015,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-01,2015,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-01,2015,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-01,2016,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-01,2016,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,2016,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-01,2016,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,2017,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-01,2017,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-01,2017,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-01,2017,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-01,2018,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-01,2018,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-01,2018,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-01,2018,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,2019,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-01,2019,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-01,2019,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-01,2019,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,2020,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,2020,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,2020,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,2020,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-01,2021,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-01,2021,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01,2021,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-01,2021,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-01,2022,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01,2022,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-01,2022,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-01,2022,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01,2023,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-01,2023,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-01,2023,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-01,2023,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-01,2024,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-01,2024,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01,2025,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-01,2025,4,2,91,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-01,2025,7,3,92,NA,NA,NA,NA,NA,NA,NA,NA
2025-10-01,2025,10,4,92,NA,NA,NA,NA,NA,NA,NA,NA
